example_id,linked_calculator_ids,linked_public_ids,book_chapters,book_example_numbers,calculation_link_count,review_statuses,discrepancy_statuses
DIAG-EX-B-002,"DIAG-SS-B-003, DIAG-SS-B-004","DIAG-B-003, DIAG-B-004",21,21.4,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
DIAG-EX-B-003,DIAG-SS-B-005,DIAG-B-005,21,21.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
DIAG-EX-C-001,DIAG-SS-C-001,DIAG-C-001,21,21.1,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
DIAG-EX-C-002,DIAG-SS-C-002,DIAG-C-002,21,21.2,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
MARGIN-EX-B-001,"MARGIN-SS-B-001, MARGIN-SS-B-002","MARGIN-B-001, MARGIN-B-002",11,11.3,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MARGIN-EX-B-002,"MARGIN-SS-B-001, MARGIN-SS-B-002","MARGIN-B-001, MARGIN-B-002",11,11.4,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
MARGIN-EX-B-003,MARGIN-SS-B-003,MARGIN-B-003,11,11.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MARGIN-EX-B-004,"MARGIN-SS-B-004, MARGIN-SS-B-005","MARGIN-B-004, MARGIN-B-005",11,11.8,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MARGIN-EX-C-001,MARGIN-SS-C-001,MARGIN-C-001,11,11.1,3,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE",MATCH
MARGIN-EX-C-002,MARGIN-SS-C-002,MARGIN-C-002,11,11.2,1,CURATED_LEGACY_RECORD,ROUNDING_DIFFERENCE
MARGIN-EX-C-003,"MARGIN-SS-C-005, MARGIN-SS-C-006","MARGIN-C-005, MARGIN-C-006",11,11.9,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MARGIN-EX-S-001,MARGIN-SS-S-001,MARGIN-S-001,11,11.6,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ROUNDING_DIFFERENCE
MARGIN-EX-S-002,MARGIN-SS-S-001,MARGIN-S-001,11,11.7,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,SOURCE_INCONSISTENCY
MULTI-EX-B-001,MULTI-SS-B-001,MULTI-B-001,14,14.1,2,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE","MATCH, ROUNDING_DIFFERENCE"
MULTI-EX-B-002,MULTI-SS-B-002,MULTI-B-002,14,14.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MULTI-EX-C-001,MULTI-SS-C-001,MULTI-C-001,14,14.2,1,CURATED_LEGACY_RECORD,MATCH
MULTI-EX-C-002,MULTI-SS-C-001,MULTI-C-001,14,14.3,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MULTI-EX-C-003,MULTI-SS-C-002,MULTI-C-002,14,14.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
MULTI-EX-C-004,MULTI-SS-C-003,MULTI-C-003,14,14.6,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
ONE-EX-B-001,ONE-SS-B-001,ONE-B-001,3,3.7,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
ONE-EX-B-002,ONE-SS-B-001,ONE-B-001,3,3.8,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
ONE-EX-C-001,ONE-SS-C-001,ONE-C-001,5,5.8,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
ONE-EX-R-001,ONE-SS-R-001,ONE-R-001,6,6.4,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
ONE-EX-R-002,ONE-SS-R-001,ONE-R-001,6,6.5,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
ONE-EX-R-003,ONE-SS-R-002,ONE-R-002,6,6.6,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-001,TWO-SS-B-002,TWO-B-002,3,3.1,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-002,"TWO-SS-B-002, TWO-SS-B-004","TWO-B-002, TWO-B-004",3,3.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-003,TWO-SS-B-004,TWO-B-004,3,3.3,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-004,"TWO-SS-B-002, TWO-SS-B-003","TWO-B-002, TWO-B-003",3,3.4,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-005,TWO-SS-B-003,TWO-B-003,3,3.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-006,"TWO-SS-B-002, TWO-SS-B-003","TWO-B-002, TWO-B-003",3,3.6,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-B-007,TWO-SS-B-005,TWO-B-005,8,8.1,3,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE",MATCH
TWO-EX-B-008,"TWO-SS-B-005, TWO-SS-B-006","TWO-B-005, TWO-B-006",8,8.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-B-009,TWO-SS-B-005,TWO-B-005,8,8.3,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-B-010,TWO-SS-B-007,TWO-B-007,8,8.4,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-B-011,TWO-SS-B-008,TWO-B-008,12,12.4,1,CURATED_LEGACY_RECORD,ROUNDING_DIFFERENCE
TWO-EX-B-012,TWO-SS-B-009,TWO-B-009,12,12.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-001,TWO-SS-C-003,TWO-C-003,5,5.1,6,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-002,TWO-SS-C-003,TWO-C-003,5,5.2,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-003,TWO-SS-C-003,TWO-C-003,5,5.3,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-004,TWO-SS-C-003,TWO-C-003,5,5.4,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-005,TWO-SS-C-004,TWO-C-004,5,5.5,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-006,"TWO-SS-C-005, TWO-SS-C-006","TWO-C-005, TWO-C-006",5,5.6,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-007,TWO-SS-C-006,TWO-C-006,5,5.7,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-C-008,TWO-SS-C-007,TWO-C-007,8,8.6,2,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE",MATCH
TWO-EX-C-009,TWO-SS-C-007,TWO-C-007,8,8.7,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-010,TWO-SS-C-007,TWO-C-007,8,8.8,5,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-011,TWO-SS-C-007,TWO-C-007,8,8.9,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-012,TWO-SS-C-009,TWO-C-009,10,10.1,6,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-013,TWO-SS-C-009,TWO-C-009,10,10.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-014,TWO-SS-C-009,TWO-C-009,10,10.3,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
TWO-EX-C-015,TWO-SS-C-010,TWO-C-010,10,10.4,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-016,TWO-SS-C-011,TWO-C-011,10,10.5,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
TWO-EX-C-017,TWO-SS-C-012,TWO-C-012,12,12.1,1,CURATED_LEGACY_RECORD,MATCH
TWO-EX-C-018,TWO-SS-C-012,TWO-C-012,12,12.2,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-019,TWO-SS-C-013,TWO-C-013,12,12.3,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-020,TWO-SS-C-014,TWO-C-014,12,12.9,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-C-021,TWO-SS-C-015,TWO-C-015,12,12.10,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"ROUNDING_DIFFERENCE, SOURCE_INCONSISTENCY"
TWO-EX-O-001,"TWO-SS-O-001, TWO-SS-O-002","TWO-O-001, TWO-O-002",4,4.1,3,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE","MATCH, ROUNDING_DIFFERENCE, SOURCE_INCONSISTENCY"
TWO-EX-O-002,TWO-SS-O-001,TWO-O-001,4,4.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-O-003,TWO-SS-O-001,TWO-O-001,4,4.3,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ROUNDING_DIFFERENCE
TWO-EX-O-004,TWO-SS-O-001,TWO-O-001,4,4.4,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ROUNDING_DIFFERENCE
TWO-EX-O-005,TWO-SS-O-002,TWO-O-002,4,4.5,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-O-006,TWO-SS-O-004,TWO-O-004,4,4.6,2,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE",MATCH
TWO-EX-O-007,"TWO-SS-O-005, TWO-SS-O-006, TWO-SS-O-007","TWO-O-005, TWO-O-006, TWO-O-007",8,8.5,3,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE",MATCH
TWO-EX-O-008,TWO-SS-O-008,TWO-O-008,12,12.6,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ROUNDING_DIFFERENCE
TWO-EX-R-001,TWO-SS-R-001,TWO-R-001,6,6.1,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-R-002,TWO-SS-R-001,TWO-R-001,6,6.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-R-003,TWO-SS-R-002,TWO-R-002,6,6.3,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-R-004,"TWO-SS-R-001, TWO-SS-R-003","TWO-R-001, TWO-R-003",6,6.7,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-R-005,TWO-SS-R-003,TWO-R-003,6,6.8,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-R-006,TWO-SS-R-004,TWO-R-004,6,6.9,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
TWO-EX-R-007,TWO-SS-R-005,TWO-R-005,12,12.7,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-S-001,TWO-EV-S-002,TWO-S-002,7,7.1,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-S-002,"TWO-EV-S-002, TWO-SS-S-002",TWO-S-002,7,7.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-S-003,"TWO-EV-S-002, TWO-SS-S-002",TWO-S-002,7,7.4,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
TWO-EX-S-004,"TWO-EV-S-002, TWO-SS-S-002",TWO-S-002,7,7.5,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-S-005,"TWO-SS-S-003, TWO-SS-S-004, TWO-SS-S-005","TWO-S-003, TWO-S-004, TWO-S-005",7,7.6,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
TWO-EX-S-006,"TWO-SS-S-003, TWO-SS-S-004","TWO-S-003, TWO-S-004",7,7.7,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
TWO-EX-S-007,TWO-SS-S-006,TWO-S-006,12,12.8,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,SOURCE_INCONSISTENCY
